"","parameter","estimate_control","sd_control","estimate_early","sd_early","estimate_late","sd_late"
"1","h1","0.00865938019284936","0","0.0182623038692554","0","0.0068117755163856","0"
"2","h2","0.0291746982965219","0","0.0313952312223459","0","0.026325033240622","0"
"3","h3","0.0302960079657273","0","0.0154203135960372","0","0.0292722033344683","0"
"4","f11","41.1411513447444","3.6624696089373","-","-","-","-"
"5","f12","34.9136994897461","2.9370664325676","-","-","-","-"
"6","f13","28.9080716878182","3.7655932874347","-","-","-","-"
"7","f21","64.3193611129025","8.93787170782607","-","-","-","-"
"8","f22","45.4996531842613","6.01225744041002","-","-","-","-"
"9","f23","33.3398957675986","0.47209126234981","-","-","-","-"
"10","f3","48.7745531377327","10.1906689443281","-","-","-","-"
"11","u01","0.452673833","0.230690489256686","0.4103398914","0.146190907791199","0.8159319936","0.21247377888657"
"12","u02","0.868231504","0.114327784381793","0.644647687333333","0.112581424526099","0.827822084","0.162140329624734"
"13","u03","0.737217773333333","0.0945327929878481","0.774550840666667","0.173275019987499","0.603906122666667","0.128260318213191"
"14","u11","0.00140421733333336","0.0348150869125825","-","-","-","-"
"15","u12","0.532276278133333","0.163243670082239","0.635012889666667","0.224141758893125","0.428623464133333","0.171108357628221"
"16","u13","0.376713978","0.136336673751426","0.81626239","0.179373575692567","0.589380176","0.137594871888656"
"17","u2","0.333888526461111","0.0502883935157842","0.333888526461111","0.0502883935157842","0.333888526461111","0.0502883935157842"
"18","v11","0.0451379970852147","0.159260667262745","0.000316707831243027","0.00656126055990118","0.000370000219950136","0.00618812959035822"
"19","v12","0.315946476286667","0.171013994810309","0.161244251780667","0.123994261240699","0.038645806517391","0.123089370317636"
"20","v13","-","-","0.00339446067791224","0.032874875075945","-","-"
"21","v2","0.104128845621133","0.0596107680730656","0.104128845621133","0.0596107680730656","0.104128845621133","0.0596107680730656"
"22","m01","0.917901750581852","1.10722765209352","0.974448677451184","1.12110707211821","0.906560715026403","1.08956483743031"
"23","m02","0.325996683995434","0.450318592657531","0.622614723416772","0.445119574509475","0.295634115833311","0.547980432517376"
"24","m03","0.0584181073925159","0.599693760108126","0.174664018769911","0.544503369066603","0.0510881685372857","0.675156661405249"
"25","m11","0.965992026703238","1.17324801369397","0.98208955042481","1.23736702205492","0.95092879349676","1.24601459974817"
"26","m12","0.801342044242893","0.646497844776199","0.886194030962423","1.059473737856","0.733471882641104","0.698224356705182"
"27","m13","0.364206252221346","0.69032096541018","0.525124751972191","1.31568501757267","0.280991712534092","0.66303629774567"
"28","m2","1","0","1","0","1","0"
