"","growth_cluster","treatment","predicted","sd","conf.low","conf.high"
"1",1,"control",0.917901750581852,1.10722765209352,0.560710811441184,0.989892313475342
"2",1,"early",0.974448677451184,1.12110707211821,0.809050646258242,0.997095288473797
"3",1,"late",0.906560715026403,1.08956483743031,0.534156293968183,0.987965306500281
"4",2,"control",0.325996683995434,0.450318592657531,0.166733603526687,0.538985805356707
"5",2,"early",0.622614723416772,0.445119574509475,0.408116525087607,0.797877257094734
"6",2,"late",0.295634115833311,0.547980432517376,0.125406662942764,0.551280693060243
"7",3,"control",0.0584181073925159,0.599693760108126,0.018792730584966,0.167345639173775
"8",3,"early",0.174664018769911,0.544503369066603,0.0678538612455468,0.380902502542082
"9",3,"late",0.0510881685372857,0.675156661405249,0.0141324883216488,0.168194133352409
